sample_id,source_kind,document_type,scenario,old_text,new_text,diff_text,change_type,extracted_entities,importance_label
S0024,synthetic,регламент,procedure_changed,Проверка заявления выполняется отделом приёма.,Проверка заявления выполняется профильным отделом сопровождения.,"OLD: Проверка заявления выполняется отделом приёма.
NEW: Проверка заявления выполняется профильным отделом сопровождения.",procedure,"[{""type"": ""procedure_change"", ""value"": ""true""}]",important
S0012,synthetic,административный регламент,required_documents_changed,Для получения услуги заявитель представляет паспорт.,Для получения услуги заявитель представляет паспорт и доверенность представителя.,"OLD: Для получения услуги заявитель представляет паспорт.
NEW: Для получения услуги заявитель представляет паспорт и доверенность представителя.",document,"[{""type"": ""required_documents_old"", ""value"": ""паспорт""}, {""type"": ""required_documents_new"", ""value"": ""паспорт и доверенность представителя""}]",critical
S0031,synthetic,памятка,informational_addition,Порядок заполнения заявления определяется приложением.,"Порядок заполнения заявления определяется приложением, в котором приведён пример заполнения формы.","OLD: Порядок заполнения заявления определяется приложением.
NEW: Порядок заполнения заявления определяется приложением, в котором приведён пример заполнения формы.",informational,"[{""type"": ""info_change"", ""value"": ""true""}]",informational
S0022,synthetic,регламент,procedure_changed,Уведомление заявителя осуществляется по телефону.,Уведомление заявителя осуществляется по телефону и через личный кабинет.,"OLD: Уведомление заявителя осуществляется по телефону.
NEW: Уведомление заявителя осуществляется по телефону и через личный кабинет.",procedure,"[{""type"": ""procedure_change"", ""value"": ""true""}]",important
S0013,synthetic,регламент,refusal_ground_changed,Основанием для отказа является предоставление недостоверных сведений.,Основанием для отказа является предоставление недостоверных сведений или непредставление СНИЛС.,"OLD: Основанием для отказа является предоставление недостоверных сведений.
NEW: Основанием для отказа является предоставление недостоверных сведений или непредставление СНИЛС.",refusal,"[{""type"": ""refusal_change"", ""value"": ""true""}]",critical
S0026,synthetic,регламент,condition_changed,Услуга предоставляется заявителям старше 18 лет.,Услуга предоставляется заявителям старше 18 лет и их законным представителям.,"OLD: Услуга предоставляется заявителям старше 18 лет.
NEW: Услуга предоставляется заявителям старше 18 лет и их законным представителям.",condition,"[{""type"": ""condition_change"", ""value"": ""true""}]",important
S0038,synthetic,регламент,editorial_change,Заявление регистрируется в течение 1 дня.,Заявление регистрируется в течение одного дня.,"OLD: Заявление регистрируется в течение 1 дня.
NEW: Заявление регистрируется в течение одного дня.",editorial,"[{""type"": ""editorial_change"", ""value"": ""true""}]",editorial
S0039,synthetic,регламент,editorial_change,Пункт 4.1. Общие положения.,Пункт 4.1 Общие положения.,"OLD: Пункт 4.1. Общие положения.
NEW: Пункт 4.1 Общие положения.",editorial,"[{""type"": ""editorial_change"", ""value"": ""true""}]",editorial
S0029,synthetic,памятка,informational_addition,Консультации предоставляются в рабочее время.,Консультации предоставляются в рабочее время. Дополнительно указан телефон горячей линии 8-800-100-00-00.,"OLD: Консультации предоставляются в рабочее время.
NEW: Консультации предоставляются в рабочее время. Дополнительно указан телефон горячей линии 8-800-100-00-00.",informational,"[{""type"": ""info_change"", ""value"": ""true""}]",informational
S0014,synthetic,регламент,refusal_ground_changed,Основания для отказа отсутствуют.,Основанием для отказа является отсутствие регистрации по месту жительства.,"OLD: Основания для отказа отсутствуют.
NEW: Основанием для отказа является отсутствие регистрации по месту жительства.",refusal,"[{""type"": ""refusal_change"", ""value"": ""true""}]",critical
S0025,synthetic,регламент,procedure_changed,Консультирование проводится с 9:00 до 18:00.,Консультирование проводится с 8:00 до 20:00.,"OLD: Консультирование проводится с 9:00 до 18:00.
NEW: Консультирование проводится с 8:00 до 20:00.",procedure,"[{""type"": ""procedure_change"", ""value"": ""true""}]",important
S0021,synthetic,регламент,procedure_changed,Документы принимаются в окне №1.,Документы принимаются в окне №1 и через единое окно обслуживания.,"OLD: Документы принимаются в окне №1.
NEW: Документы принимаются в окне №1 и через единое окно обслуживания.",procedure,"[{""type"": ""procedure_change"", ""value"": ""true""}]",important
S0023,synthetic,регламент,procedure_changed,Заявление подаётся лично.,Заявление подаётся лично либо через представителя.,"OLD: Заявление подаётся лично.
NEW: Заявление подаётся лично либо через представителя.",procedure,"[{""type"": ""procedure_change"", ""value"": ""true""}]",important
S0030,synthetic,памятка,informational_addition,Подробная информация размещается на официальном сайте.,Подробная информация размещается на официальном сайте и в информационных стендах в помещении МФЦ.,"OLD: Подробная информация размещается на официальном сайте.
NEW: Подробная информация размещается на официальном сайте и в информационных стендах в помещении МФЦ.",informational,"[{""type"": ""info_change"", ""value"": ""true""}]",informational
S0044,synthetic,регламент,structural_renumbering,Приложение 1,Приложение № 1,"OLD: Приложение 1
NEW: Приложение № 1",structure,"[{""type"": ""structure_change"", ""value"": ""true""}]",editorial
S0001,synthetic,регламент,deadline_changed,Срок предоставления государственной услуги составляет 5 рабочих дней.,Срок предоставления государственной услуги составляет 10 рабочих дней.,"OLD: Срок предоставления государственной услуги составляет 5 рабочих дней.
NEW: Срок предоставления государственной услуги составляет 10 рабочих дней.",deadline,"[{""type"": ""service"", ""value"": ""предоставления государственной услуги""}, {""type"": ""deadline_old"", ""value"": ""5 рабочих дней""}, {""type"": ""deadline_new"", ""value"": ""10 рабочих дней""}]",critical
S0020,synthetic,регламент,procedure_changed,Приём заявлений осуществляется в порядке живой очереди.,Приём заявлений осуществляется по предварительной записи через региональный портал.,"OLD: Приём заявлений осуществляется в порядке живой очереди.
NEW: Приём заявлений осуществляется по предварительной записи через региональный портал.",procedure,"[{""type"": ""procedure_change"", ""value"": ""true""}]",important
S0017,synthetic,локальный акт,staff_obligation_changed,Сотрудник информирует заявителя устно по запросу.,Сотрудник обязан информировать заявителя устно и письменно при выявлении оснований отказа.,"OLD: Сотрудник информирует заявителя устно по запросу.
NEW: Сотрудник обязан информировать заявителя устно и письменно при выявлении оснований отказа.",obligation,"[{""type"": ""staff_action"", ""value"": ""обязанность сотрудника""}]",critical
S0043,synthetic,регламент,structural_renumbering,Пункт 5.2.,Пункт 5.3.,"OLD: Пункт 5.2.
NEW: Пункт 5.3.",structure,"[{""type"": ""structure_change"", ""value"": ""true""}]",editorial
S0037,synthetic,регламент,editorial_change,Раздел 3. Порядок предоставления услуги.,РАЗДЕЛ 3. Порядок предоставления услуги.,"OLD: Раздел 3. Порядок предоставления услуги.
NEW: РАЗДЕЛ 3. Порядок предоставления услуги.",editorial,"[{""type"": ""editorial_change"", ""value"": ""true""}]",editorial
S0033,synthetic,памятка,informational_addition,"В тексте документа используются термины, установленные законодательством.","В тексте документа используются термины, установленные законодательством, а также даны пояснения к отдельным сокращениям.","OLD: В тексте документа используются термины, установленные законодательством.
NEW: В тексте документа используются термины, установленные законодательством, а также даны пояснения к отдельным сокращениям.",informational,"[{""type"": ""info_change"", ""value"": ""true""}]",informational
S0042,synthetic,регламент,structural_renumbering,Раздел II. Порядок предоставления услуги,Глава 2. Порядок предоставления услуги,"OLD: Раздел II. Порядок предоставления услуги
NEW: Глава 2. Порядок предоставления услуги",structure,"[{""type"": ""structure_change"", ""value"": ""true""}]",editorial
S0003,synthetic,регламент,deadline_changed,Срок предоставления государственной услуги составляет 1 рабочий день.,Срок предоставления государственной услуги составляет 15 рабочих дней.,"OLD: Срок предоставления государственной услуги составляет 1 рабочий день.
NEW: Срок предоставления государственной услуги составляет 15 рабочих дней.",deadline,"[{""type"": ""service"", ""value"": ""предоставления государственной услуги""}, {""type"": ""deadline_old"", ""value"": ""1 рабочий день""}, {""type"": ""deadline_new"", ""value"": ""15 рабочих дней""}]",critical
S0028,synthetic,регламент,condition_changed,Для обращения требуется регистрация по месту жительства.,Для обращения требуется регистрация по месту жительства или месту пребывания.,"OLD: Для обращения требуется регистрация по месту жительства.
NEW: Для обращения требуется регистрация по месту жительства или месту пребывания.",condition,"[{""type"": ""condition_change"", ""value"": ""true""}]",important
S0006,synthetic,регламент,deadline_changed,Срок рассмотрения заявления составляет 1 рабочий день.,Срок рассмотрения заявления составляет 15 рабочих дней.,"OLD: Срок рассмотрения заявления составляет 1 рабочий день.
NEW: Срок рассмотрения заявления составляет 15 рабочих дней.",deadline,"[{""type"": ""service"", ""value"": ""рассмотрения заявления""}, {""type"": ""deadline_old"", ""value"": ""1 рабочий день""}, {""type"": ""deadline_new"", ""value"": ""15 рабочих дней""}]",critical
S0035,synthetic,регламент,editorial_change,Прием документов осуществляется ежедневно.,Приём документов осуществляется ежедневно.,"OLD: Прием документов осуществляется ежедневно.
NEW: Приём документов осуществляется ежедневно.",editorial,"[{""type"": ""editorial_change"", ""value"": ""true""}]",editorial
S0007,synthetic,регламент,deadline_changed,Срок выдачи результата услуги составляет 5 рабочих дней.,Срок выдачи результата услуги составляет 10 рабочих дней.,"OLD: Срок выдачи результата услуги составляет 5 рабочих дней.
NEW: Срок выдачи результата услуги составляет 10 рабочих дней.",deadline,"[{""type"": ""service"", ""value"": ""выдачи результата услуги""}, {""type"": ""deadline_old"", ""value"": ""5 рабочих дней""}, {""type"": ""deadline_new"", ""value"": ""10 рабочих дней""}]",critical
S0009,synthetic,регламент,deadline_changed,Срок выдачи результата услуги составляет 1 рабочий день.,Срок выдачи результата услуги составляет 15 рабочих дней.,"OLD: Срок выдачи результата услуги составляет 1 рабочий день.
NEW: Срок выдачи результата услуги составляет 15 рабочих дней.",deadline,"[{""type"": ""service"", ""value"": ""выдачи результата услуги""}, {""type"": ""deadline_old"", ""value"": ""1 рабочий день""}, {""type"": ""deadline_new"", ""value"": ""15 рабочих дней""}]",critical
S0015,synthetic,регламент,refusal_ground_changed,В предоставлении услуги может быть отказано при отсутствии заявления.,В предоставлении услуги может быть отказано при отсутствии заявления либо обязательного подтверждающего документа.,"OLD: В предоставлении услуги может быть отказано при отсутствии заявления.
NEW: В предоставлении услуги может быть отказано при отсутствии заявления либо обязательного подтверждающего документа.",refusal,"[{""type"": ""refusal_change"", ""value"": ""true""}]",critical
S0016,synthetic,локальный акт,staff_obligation_changed,Сотрудник проверяет комплектность документов.,Сотрудник обязан проверять комплектность документов и сверять сведения с реестром.,"OLD: Сотрудник проверяет комплектность документов.
NEW: Сотрудник обязан проверять комплектность документов и сверять сведения с реестром.",obligation,"[{""type"": ""staff_action"", ""value"": ""обязанность сотрудника""}]",critical
S0018,synthetic,локальный акт,responsibility_changed,Ответственность за нарушение порядка не установлена.,За нарушение порядка предоставления услуги устанавливается дисциплинарная ответственность.,"OLD: Ответственность за нарушение порядка не установлена.
NEW: За нарушение порядка предоставления услуги устанавливается дисциплинарная ответственность.",responsibility,"[{""type"": ""responsibility_change"", ""value"": ""true""}]",critical
S0002,synthetic,регламент,deadline_changed,Срок предоставления государственной услуги составляет 3 рабочих дня.,Срок предоставления государственной услуги составляет 7 рабочих дней.,"OLD: Срок предоставления государственной услуги составляет 3 рабочих дня.
NEW: Срок предоставления государственной услуги составляет 7 рабочих дней.",deadline,"[{""type"": ""service"", ""value"": ""предоставления государственной услуги""}, {""type"": ""deadline_old"", ""value"": ""3 рабочих дня""}, {""type"": ""deadline_new"", ""value"": ""7 рабочих дней""}]",critical
S0008,synthetic,регламент,deadline_changed,Срок выдачи результата услуги составляет 3 рабочих дня.,Срок выдачи результата услуги составляет 7 рабочих дней.,"OLD: Срок выдачи результата услуги составляет 3 рабочих дня.
NEW: Срок выдачи результата услуги составляет 7 рабочих дней.",deadline,"[{""type"": ""service"", ""value"": ""выдачи результата услуги""}, {""type"": ""deadline_old"", ""value"": ""3 рабочих дня""}, {""type"": ""deadline_new"", ""value"": ""7 рабочих дней""}]",critical
S0041,synthetic,регламент,editorial_change,Порядок предоставления услуги определяется настоящим регламентом.,Порядок предоставления услуги определяется настоящим Регламентом.,"OLD: Порядок предоставления услуги определяется настоящим регламентом.
NEW: Порядок предоставления услуги определяется настоящим Регламентом.",editorial,"[{""type"": ""editorial_change"", ""value"": ""true""}]",editorial
