pair_id,source,title,old_file,new_file,old_length,new_length,chunk_count_old,chunk_count_new,change_count_total,change_count_added,change_count_removed,change_count_modified,change_count_moved,significant_count,critical_count,important_count,informational_count,editorial_count,quiz_question_count,summary_highlight_count,warnings,status
ruslawod_pair_0014,ruslawod_weak_regression,О внесении изменений в некоторые акты Правительства Российской Федерации,regression/ruslawod_pairs/pair_0014/old.txt,regression/ruslawod_pairs/pair_0014/new.txt,2397,2932,1,1,1,0,0,1,0,1,1,0,0,0,1,1,,ok
ruslawod_pair_0015,ruslawod_weak_regression,О внесении изменений в некоторые акты Правительства Российской Федерации,regression/ruslawod_pairs/pair_0015/old.txt,regression/ruslawod_pairs/pair_0015/new.txt,7897,20840,1,1,1,0,0,1,0,1,0,1,0,0,1,1,,ok
ruslawod_pair_0016,ruslawod_weak_regression,О внесении изменений в некоторые акты Правительства Российской Федерации,regression/ruslawod_pairs/pair_0016/old.txt,regression/ruslawod_pairs/pair_0016/new.txt,4163,6829,1,1,1,0,0,1,0,1,1,0,0,0,1,1,,ok
ruslawod_pair_0017,ruslawod_weak_regression,О внесении изменений в некоторые акты Правительства Российской Федерации,regression/ruslawod_pairs/pair_0017/old.txt,regression/ruslawod_pairs/pair_0017/new.txt,1444,8852,1,1,1,0,0,1,0,1,1,0,0,0,1,1,,ok
ruslawod_pair_0018,ruslawod_weak_regression,О внесении изменений в некоторые акты Правительства Российской Федерации,regression/ruslawod_pairs/pair_0018/old.txt,regression/ruslawod_pairs/pair_0018/new.txt,3980,2600,1,1,1,0,0,1,0,1,1,0,0,0,1,1,,ok
ruslawod_pair_0019,ruslawod_weak_regression,О внесении изменений в некоторые акты Правительства Российской Федерации,regression/ruslawod_pairs/pair_0019/old.txt,regression/ruslawod_pairs/pair_0019/new.txt,2450,18733,1,1,1,0,0,1,0,1,0,1,0,0,1,1,,ok
ruslawod_pair_0020,ruslawod_weak_regression,О внесении изменений в некоторые акты Правительства Российской Федерации,regression/ruslawod_pairs/pair_0020/old.txt,regression/ruslawod_pairs/pair_0020/new.txt,1410,4075,1,1,1,0,0,1,0,0,0,0,0,1,1,1,,ok
ruslawod_pair_0021,ruslawod_weak_regression,О внесении изменений в некоторые акты Правительства Российской Федерации,regression/ruslawod_pairs/pair_0021/old.txt,regression/ruslawod_pairs/pair_0021/new.txt,4618,10520,1,1,1,0,0,1,0,1,1,0,0,0,1,1,,ok
ruslawod_pair_0022,ruslawod_weak_regression,О внесении изменений в некоторые акты Правительства Российской Федерации,regression/ruslawod_pairs/pair_0022/old.txt,regression/ruslawod_pairs/pair_0022/new.txt,10520,44137,1,1,1,0,0,1,0,1,1,0,0,0,1,1,,ok
ruslawod_pair_0023,ruslawod_weak_regression,О внесении изменений в некоторые акты Правительства Российской Федерации,regression/ruslawod_pairs/pair_0023/old.txt,regression/ruslawod_pairs/pair_0023/new.txt,7183,31900,1,1,1,0,0,1,0,1,1,0,0,0,1,1,,ok
ruslawod_pair_0024,ruslawod_weak_regression,О внесении изменений в некоторые акты Правительства Российской Федерации,regression/ruslawod_pairs/pair_0024/old.txt,regression/ruslawod_pairs/pair_0024/new.txt,11862,2873,1,1,1,0,0,1,0,1,1,0,0,0,1,1,,ok
ruslawod_pair_0025,ruslawod_weak_regression,О прекращении полномочий членов Совета Федерации Федерального Собрания Российской Федерации,regression/ruslawod_pairs/pair_0025/old.txt,regression/ruslawod_pairs/pair_0025/new.txt,1018,1173,1,1,1,0,0,1,0,1,1,0,0,0,1,1,,ok
ruslawod_pair_0026,ruslawod_weak_regression,Об изменениях составов комитетов Совета Федерации,regression/ruslawod_pairs/pair_0026/old.txt,regression/ruslawod_pairs/pair_0026/new.txt,2342,729,1,1,1,0,0,1,0,0,0,0,0,1,0,1,,ok
ruslawod_pair_0027,ruslawod_weak_regression,"О Федеральном законе ""О внесении изменений в отдельные законодательные акты Российской Федерации""",regression/ruslawod_pairs/pair_0027/old.txt,regression/ruslawod_pairs/pair_0027/new.txt,831,851,1,1,1,0,0,1,0,0,0,0,0,1,0,1,,ok
ruslawod_pair_0028,ruslawod_weak_regression,"О Федеральном законе ""О внесении изменений в отдельные законодательные акты Российской Федерации""",regression/ruslawod_pairs/pair_0028/old.txt,regression/ruslawod_pairs/pair_0028/new.txt,851,847,1,1,1,0,0,1,0,0,0,0,0,1,0,1,,ok
ruslawod_pair_0029,ruslawod_weak_regression,"О Федеральном законе ""О внесении изменений в отдельные законодательные акты Российской Федерации""",regression/ruslawod_pairs/pair_0029/old.txt,regression/ruslawod_pairs/pair_0029/new.txt,849,860,1,1,1,0,0,1,0,0,0,0,0,1,0,1,,ok
ruslawod_pair_0030,ruslawod_weak_regression,"О Федеральном законе ""О внесении изменений в отдельные законодательные акты Российской Федерации""",regression/ruslawod_pairs/pair_0030/old.txt,regression/ruslawod_pairs/pair_0030/new.txt,852,839,1,1,1,0,0,1,0,0,0,0,0,1,0,1,,ok
ruslawod_pair_0031,ruslawod_weak_regression,"О Федеральном законе ""О внесении изменений в Кодекс Российской Федерации об административных правонарушениях""",regression/ruslawod_pairs/pair_0031/old.txt,regression/ruslawod_pairs/pair_0031/new.txt,872,872,1,1,1,0,0,1,0,0,0,0,0,1,0,1,,ok
ruslawod_pair_0032,ruslawod_weak_regression,"О внесении изменений в форму градостроительного плана земельного участка и порядок ее заполнения, утвержденные приказом Министерства строительства и жилищно-коммунального хозяйства Российской Федерации от 25 апреля 2017 г. № 741/пр",regression/ruslawod_pairs/pair_0032/old.txt,regression/ruslawod_pairs/pair_0032/new.txt,4513,6535,1,1,1,0,0,1,0,1,0,1,0,0,1,1,,ok
ruslawod_pair_0033,ruslawod_weak_regression,"О признании утратившими силу приказа Министерства финансов Российской Федерации от 19 марта 2019 г. № 46н ""Об утверждении состава и структуры сведений, направляемых Центральным банком Российской Федерации в Федеральную таможенную службу, необходимых для ведения реестра банков, обладающих правом выдачи банковских гарантий"" и внесенных в него изменений",regression/ruslawod_pairs/pair_0033/old.txt,regression/ruslawod_pairs/pair_0033/new.txt,2320,2320,1,1,1,0,0,1,0,0,0,0,0,1,0,1,,ok
ruslawod_pair_0034,ruslawod_weak_regression,О поощрении,regression/ruslawod_pairs/pair_0034/old.txt,regression/ruslawod_pairs/pair_0034/new.txt,1106,969,1,1,1,0,0,1,0,0,0,0,0,1,1,1,,ok
ruslawod_pair_0035,ruslawod_weak_regression,О поощрении,regression/ruslawod_pairs/pair_0035/old.txt,regression/ruslawod_pairs/pair_0035/new.txt,3641,23150,1,1,1,0,0,1,0,1,0,1,0,0,1,1,,ok
ruslawod_pair_0036,ruslawod_weak_regression,О поощрении,regression/ruslawod_pairs/pair_0036/old.txt,regression/ruslawod_pairs/pair_0036/new.txt,4610,29442,1,1,1,0,0,1,0,1,1,0,0,0,1,1,,ok
ruslawod_pair_0037,ruslawod_weak_regression,О поощрении,regression/ruslawod_pairs/pair_0037/old.txt,regression/ruslawod_pairs/pair_0037/new.txt,671,1597,1,1,1,0,0,1,0,1,1,0,0,0,1,1,,ok
ruslawod_pair_0038,ruslawod_weak_regression,О поощрении,regression/ruslawod_pairs/pair_0038/old.txt,regression/ruslawod_pairs/pair_0038/new.txt,323,24223,1,1,1,0,0,1,0,1,1,0,0,0,1,1,,ok
ruslawod_pair_0039,ruslawod_weak_regression,О поощрении,regression/ruslawod_pairs/pair_0039/old.txt,regression/ruslawod_pairs/pair_0039/new.txt,319,1718,1,1,1,0,0,1,0,0,0,0,0,1,1,1,,ok
ruslawod_pair_0040,ruslawod_weak_regression,О поощрении,regression/ruslawod_pairs/pair_0040/old.txt,regression/ruslawod_pairs/pair_0040/new.txt,1097,477,1,1,1,0,0,1,0,0,0,0,0,1,1,1,,ok
ruslawod_pair_0041,ruslawod_weak_regression,О внесении изменений в Регламент Конституционного Суда Российской Федерации,regression/ruslawod_pairs/pair_0041/old.txt,regression/ruslawod_pairs/pair_0041/new.txt,7200,3326,1,1,1,0,0,1,0,1,0,1,0,0,1,1,,ok
ruslawod_pair_0042,ruslawod_weak_regression,О награждении государственными наградами Российской Федерации,regression/ruslawod_pairs/pair_0042/old.txt,regression/ruslawod_pairs/pair_0042/new.txt,19619,7603,1,1,1,0,0,1,0,1,0,1,0,0,1,1,,ok
ruslawod_pair_0043,ruslawod_weak_regression,О награждении государственными наградами Российской Федерации,regression/ruslawod_pairs/pair_0043/old.txt,regression/ruslawod_pairs/pair_0043/new.txt,34567,8774,1,1,1,0,0,1,0,1,0,1,0,0,1,1,,ok
ruslawod_pair_0044,ruslawod_weak_regression,О награждении государственными наградами Российской Федерации,regression/ruslawod_pairs/pair_0044/old.txt,regression/ruslawod_pairs/pair_0044/new.txt,12343,1429,1,1,1,0,0,1,0,1,0,1,0,0,1,1,,ok
ruslawod_pair_0045,ruslawod_weak_regression,О награждении государственными наградами Российской Федерации,regression/ruslawod_pairs/pair_0045/old.txt,regression/ruslawod_pairs/pair_0045/new.txt,8540,3880,1,1,1,0,0,1,0,1,0,1,0,0,1,1,,ok
ruslawod_pair_0046,ruslawod_weak_regression,О награждении государственными наградами Российской Федерации,regression/ruslawod_pairs/pair_0046/old.txt,regression/ruslawod_pairs/pair_0046/new.txt,7363,1057,1,1,1,0,0,1,0,0,0,0,0,1,1,1,,ok
ruslawod_pair_0047,ruslawod_weak_regression,О награждении государственными наградами Российской Федерации,regression/ruslawod_pairs/pair_0047/old.txt,regression/ruslawod_pairs/pair_0047/new.txt,55876,9392,1,1,1,0,0,1,0,1,0,1,0,0,1,1,,ok
ruslawod_pair_0048,ruslawod_weak_regression,О награждении государственными наградами Российской Федерации,regression/ruslawod_pairs/pair_0048/old.txt,regression/ruslawod_pairs/pair_0048/new.txt,31954,8528,1,1,1,0,0,1,0,1,0,1,0,0,1,1,,ok
ruslawod_pair_0049,ruslawod_weak_regression,О награждении государственными наградами Российской Федерации,regression/ruslawod_pairs/pair_0049/old.txt,regression/ruslawod_pairs/pair_0049/new.txt,2522,8972,1,1,1,0,0,1,0,0,0,0,0,1,1,1,,ok
ruslawod_pair_0050,ruslawod_weak_regression,О награждении государственными наградами Российской Федерации военнослужащих Вооруженных Сил Российской Федерации,regression/ruslawod_pairs/pair_0050/old.txt,regression/ruslawod_pairs/pair_0050/new.txt,2162,748,1,1,1,0,0,1,0,1,0,1,0,0,1,1,,ok
